sample_num,left_count,right_count
Logging stopped. Total samples: 3000, Time: 30000 ms
1125,24568,22755
1126,24524,22795
1127,24479,22835
1128,24434,22875
1129,24390,22915
1130,24345,22955
1131,24300,22995
1132,24255,23035
1133,24211,23075
1134,24166,23115
1135,24121,23155
1136,24077,23195
1137,24032,23235
1138,23987,23275
1139,23942,23315
1140,23898,23355
1141,23853,23395
1142,23808,23435
1143,23764,23475
1144,23719,23515
1145,23674,23555
1146,23630,23595
1147,23585,23635
1148,23540,23675
1149,23496,23715
1150,23451,23755
1151,23406,23795
1152,23362,23835
1153,23317,23875
1154,23272,23915
1155,23227,23955
1156,23182,23995
1157,23138,24035
1158,23093,24075
1159,23048,24115
1160,23004,24155
1161,22959,24195
1162,22914,24235
1163,22870,24275
1164,22825,24315
1165,22780,24355
1166,22736,24395
1167,22691,24435
1168,22646,24475
1169,22601,24515
1170,22556,24555
1171,22512,24595
1172,22467,24635
1173,22422,24675
1174,22378,24715
1175,22333,24755
1176,22288,24795
1177,22243,24835
1178,22198,24875
1179,22154,24915
1180,22109,24955
1181,22064,24995
1182,22020,25035
1183,21975,25075
1184,21930,25115
1185,21886,25155
1186,21841,25195
1187,21796,25235
1188,21752,25275
1189,21707,25315
1190,21662,25355
1191,21617,25395
1192,21572,25435
1193,21528,25475
1194,21483,25515
1195,21438,25555
1196,21394,25595
1197,21349,25635
1198,21304,25675
1199,21260,25715
1200,21215,25755
1201,21170,25795
1202,21126,25835
1203,21081,25875
1204,21036,25915
1205,20991,25955
1206,20947,25995
1207,20902,26035
1208,20857,26075
1209,20812,26115
1210,20768,26155
1211,20723,26195
1212,20678,26235
1213,20634,26275
1214,20589,26315
1215,20544,26355
1216,20500,26395
1217,20455,26435
1218,20410,26475
1219,20365,26515
1220,20320,26555
1221,20276,26595
1222,20231,26635
1223,20186,26675
1224,20142,26715
1225,20097,26755
1226,20052,26795
1227,20008,26835
1228,19963,26875
1229,19918,26915
1230,19874,26955
1231,19829,26995
1232,19784,27035
1233,19740,27075
1234,19695,27115
1235,19650,27155
1236,19605,27195
1237,19560,27235
1238,19516,27275
1239,19471,27315
1240,19426,27355
1241,19382,27395
1242,19337,27435
1243,19292,27475
1244,19248,27515
1245,19203,27555
1246,19158,27595
1247,19113,27635
1248,19069,27675
1249,19024,27715
1250,18979,27755
1251,18934,27795
1252,18890,27835
1253,18845,27875
